pname
Arlette Marchal
Tiffany Clark
Wanda Tuchock
King Vidor
First National
Adele Crane
Ann Shaw
Beryl Mercer
Betty Grable
Billy Bevan
Bonita Granville
C. Montague Shaw
Claude King
Clive Brook
David Torrence
Des Roberts
Desmond Roberts
Dick Henderson
Douglas Walton
Frank Atkinson
Frank Lawton
Harry Allen
Herbert Mundin
Howard Davies
Irene Browne
John Rogers
John Warburton
Lawrence Grant
Lionel Belmore
Margaret Lindsay
Mary Forbes
Merle Tottenham
Pat Somerset
Sheila MacGill
Stuart Hall
Tempe Piggott
Una OConnor
Ursula Jeans
Will Stanton
Winter Hall
Diana Wynyard
Frank Lloyd
Reginald Berkeley
Adele Lacey
Agnes Ray
Al Dubin
Albert Akst
Alexis Dubin
Alice Jans
Allen Jenkins
Ann Hovey
Anne Hovey
Barbara Rogers
Bebe Daniels
Busby Berkeley
Charles Lane
Clarence Nordstrom
Dave OBrien
Dick Powell
Donna Mae Roberts
Dorothy White
Eddie Nugent
Edna Callaghan
Eve Marcy
Evelyn Joice
George Brent
Gertrude Keeler
Ginger Rogers
Grace Tobin
Guy Kibbee
Harry Akst
Harry Seymour
Harry Warren
Helen Keeler
Jack LaRue
James Seymour
Jayne Shadduck
Joan Barclay
June Glory
Kermit Maynard
Lorena Layson
Loretta Andrews
Louise Beavers
Lyle Talbot
Lynn Browning
Margaret La Marr
Mary Jane Halsey
Maxine Cantway
Milton Kibbee
Ned Sparks
Pat Wing
Patricia Ellis
Patricia Farnum
Renee Whitney
Ruby Keeler
Ruth Eddings
Toby Wing
Una Merkel
Wallis Clark
Whitney Bolton
Lloyd Bacon
Rian James
Adolphe Menjou
Agostino Borgato
Alice Adair
Benjamin Glazer
Blanche Frederici
Doris Lloyd
Ernest Hemingway
Fred Malatesta
George Humbert
Gilbert Emery
Helen Hayes
Herman Bing
Inez Palange
Mary Philips
Oliver H.P. Garrett
Paul Porcasi
Peggy Cunningham
Robert Cauterio
Tom Ricketts
Frank Borzage
Paramount
Columbia
Dorothy Gray
Douglass Montgomery
Frances Dee
Harry Beresford
Henry Stephenson
Jean Parker
Joan Bennett
John Davis Lodge
John Lodge
June Filmer
Mabel Colcord
Marina Schubert
Marion Ballou
Nydia Westman
Olin Howland
Paul Lukas
Samuel S. Hinds
Spring Byington
Victor Heerman
George Cukor
Katharine Hepburn
Arthur Wimperis
Binnie Barnes
Claud Allister
Claude Allister
Elsa Lanchester
Everley Gregg
Franklin Dyall
Frederick Culley
Gibb McLaughlin
John Loder
John Turnbull
Judy Kelly
Lady Tree
Lawrence Hanray
Merle Oberon
Miles Mander
Robert Donat
Sam Livesey
Wendy Barrie
William Austin
William Heughan
Alexander Korda
Charles Laughton
Lajos Biró
London Films
Aggie Herring
Al Hill
Arthur Housman
Cary Grant
David Landau
Dewey Robinson
Ernie S. Adams
Frank Moran
Fuzzy Knight
Gilbert Roland
Grace La Rue
Harry Wallace
Harvey Thew
Heinie Conklin
Jack Carr
James Eagles
John Bright
Lee Kohlmar
Mary Gordon
Michael Mark
Mike Donlin
Noah Beery Sr.
Owen Moore
Robert E. Homans
Rochelle Hudson
Tammany Young
Tom McGuire
Wade Boteler
Lowell Sherman
Mae West
Alan Hale
Arthur Hoyt
Bert Starkey
Bess Flowers
Billy Engle
Charles C. Wilson
Charles D. Brown
Clark Gable
Dave Wengren
Douglas Carter Beane
Earl Pingree
Eddy Chandler
Edmund Burns
Ethel Sykes
Eva Dennison
Frank Yaconelli
Fred Walton
George Breakston
Hal Price
Harry C. Bradley
Harry Holman
Harry Hume
Harry Todd
Henry Wadsworth
Irving Bacon
J. Frank Holliday
James Burke
Jameson Thomas
Jason Thomas
Joseph Crehan
Kit Guard
Ky Robinson
Maidel Turner
Matty Roubert
Mickey Daniels
Oliver Eckhardt
Rev. Neal Dodd
Rita Ross
Sherry Hall
Walter Connolly
Ward Bond
Claudette Colbert
Frank Capra
Robert Riskin
Alan Conrad
Claudine West
Donald Ogden Stewart
Ferdinand Munier
Fredric March
George Kirby
Ian Wolfe
Katherine Alexander
Leo Carrillo
Leo G Carroll
Lowden Adams
Margaret Seddon
Marion Clayton
Matt Smith
Matthew Smith
Maureen OSullivan
Neville Clark
Neville Clarke
Peter Hobbes
Ralph Forbes
Robert Bolder
Robert Carleton
Vernon P. Downing
Ernest Vajda
Norma Shearer
Sidney Franklin
Alice Brady
Alphonse Martell
Art Jarrett
Charles Coleman
Charles D. Hall
Charles H. Bisharat
Dorothy Yost
Dwight Taylor
E.E. Clive
Edward Everett Horton
Edward Kaufman
Eric Blore
Erik Rhodes
George Davis
Lillian Miles
Fred Astaire
George Marion Jr.
Mark Sandrich
20th Century
Alice Ardell
Alma Tell
Baby Jane Holzer
Barry Norton
Clarence Wilson
Curry Lee
Dorothy Black
Franklin Pangborn
Fred Snowflake Toones
Fredi Washington
G.P. Huntley
G.P. Huntley Jr.
Hattie McDaniel
Hazel Washington
Henry Kolker
Joyce Compton
Juanita Quigley
Lenita Lane
Madame Sul-Te-Wan
Marilyn Knowlden
Mme. Sul Te Wan
Noel Francis
Reverend Gregg
Sebie Hendricks
Stuart Johnston
Tyler Brooke
Walter Walker
Warren William
William B. Davidson
Wyndham Standing
John M. Stahl
William Hurlbut
Albert Hackett
Arthur Belasco
Ben Taggart
Bert Roach
Cesar Romero
Charles Williams
Clay Clement
Creighton Hale
Cyril Thornton
Dink Templeton
Dixie Laughton
Douglas Fowley
Edward Ellis
Edward Hearn
Frances Goodrich
Garry Owen
Gertrude Short
Harold Huber
Harry Tenbrook
Huey White
John Larkin
Kenneth Gibson
Leo White
Minna Gombell
Myrna Loy
Nat Pendleton
Natalie Moorhead
Nick Copeland
Pat Flaherty
Phil Tead
Polly Bailey
Porter Hall
Raymond Brown
Ruth Channing
Thomas E. Jackson
Tui Lorraine Bow
Walter Long
William Henry
Dashiell Hammett
W.S. Van Dyke
William Powell
Jesse L. Lasky (production company)
Alec Craig
Byron Russell
Carey Wilson
Charles Irwin
Charles Nauu
Crauford Kent
David Niven
David Thursby
Dick Winslow
Donald Crisp
Dudley Digges
Eddie Quillan
Eric Wilton
Franchot Tone
Francis Lister
Hal Le Sueur
Harold Entwistle
Harry Cording
Ivan Simpson
James Cagney
John Harrington
John Powers
King Mojave
Mamo Clark
Movita
Nadine Beresford
Percy Waram
Robert Livingston
Sam Wallace Driscoll
Talbot Jennings
William Bambridge
William Stack
Jules Furthman
Ann Shoemaker
Charley Grapewin
Ella McKenzie
Evelyn Venable
Frank Albertson
Fred MacMurray
Fred Stone
Grady Sutton
Janet McLeod
Jonathan Hale
Virginia Howell
Zeffie Tilbury
George Stevens
Mortimer Offner
Andre Cheron
Basil Rathbone
Colin Kenny
Denis DAuburn
Donald Meek
Forrester Harvey
Frank McGlynn Sr.
Frank Puglia
George Hassell
Georges Renavent
Halliwell Hobbes
Henry Otho
Hobart Cavanaugh
Holmes Herbert
J. Carroll Naish
James Gardner
Jessie Ralph
Leonard Mudie
Lionel Atwill
Lucille Porcett
Maude Leslie
Olivia de Havilland
Pedro de Cordoba
Reginald Barlow
Renee Terres
Robert H. Barrat
Ross Alexander
Stuart Casey
Tina Minard
Vernon Steele
Yola dAvril
Casey Robinson
Errol Flynn
Michael Curtiz
Arthur McLaglen
Barlowe Borland
Clyde Cook
DArcy Corrigan
Denis ODea
Francis Ford
Gaylord Steve Pendleton
Griselda Harvey
Grizelda Harvey
Heather Angel
J.M. Kerrigan
Jack Mulhall
Joe Sawyer
Joseph Sauer
Leo McCabe
Margot Grahame
May Boley
Neil Fitzgerald
Preston S. Foster
Robert Parrish
Wallace Ford
Dudley Nichols
John Ford
Victor McLaglen
Anita Louise
Arthur Treacher
Billy Barty
Charles Kenyon
Frank McHugh
Fred Sale
Grant Mitchell
Helen Westcott
Hugh Herbert
Jean Muir
Katherine Frey
Kenneth Anger
Max Reinhardt
Mickey Rooney
Nina Theilade
Nini Theilade
Otis Harlan
Veree Teasdale
Verree Teasdale
Victor Jory
Ian Hunter
Mary C. McCall Jr.
William Dieterle
Allan Scott
Ben Holmes
Charles Hall
Edgar Norton
Edward Mudie
Eric Rhodes
Frank Mills
Genaro Spagnoli
Gino Corrado
Helen Broderick
John Impolito
Lucille Ball
Nick Thompson
Phyllis Coghlan
Rita Rozelle
Tom Costello
A.A. Trimble
Adrienne DAmbricourt
Alfred P. James
Alice Keating
Andrew A. Trimble
Ann Pennington
Bert Hanlon
Billie Burke
Boothe Howard
Buddy Doyle
Charles Fallon
Charles Judels
Charles Trowbridge
David Burns
Dennis Morgan
Ernest Cossart
Esther Muir
Evelyn Dockson
Fanny Brice
Frank Morgan
Franklyn Ardell
Gilda Gray
Grace Hayle
Harriet Hoctor
Jack Baxley
James P. Burtis
Jean Chatburn
Joan Holland
John Hyams
Joseph Cawthorn
Larry Wheat
Lawrence Wheat
Leon Errol
Luise Rainer
Marcelle Corday
Mary Howard
Mary Lange
Miss Morocco
Pat Nixon
Paul Irving
Ray Bolger
Raymond Walburn
Reginald Owen
Robert Greig
Rosina Lawrence
Ruth Gillette
Sarah Edwards
Selmar Jackson
Selmer Jackson
Stanley Morner
Susan Fleming
Suzanne Kaaren
Virginia Bruce
William Demarest
William M. Griffith
Robert Z. Leonard
William Anthony McGuire
Beatrice Maude
Charles Halton
Dale Van Sickel
Gregory Gaye
Harlan Briggs
Jack George
John Barclay
John Payne
Kathryn Marlowe
Maria Ouspenskaya
Mary Astor
Odette Myrtil
Ruth Chatterton
Wilson Benge
Sidney Howard
Walter Huston
William Wyler
Barnett Parker
Bunny Beatty
Charles Croker King
Cora Witherspoon
Duke York
Eddie Shubert
Edwin Stanley
Eric Lonsdale
Fred Graham
George Chandler
Greta Meyer
Hal K. Dawson
Harry Lash
Howard Emmet Rogers
Howard Hickman
James T. Mack
Jay Eaton
Jean Harlow
Libby Taylor
Maurine Dallas Watkins
Maurine Watkins
Myra Marsh
Norman Ainsley
Olaf Hytten
Otto Yamaoka
Pat West
Pinky Parker
Ralph Brooks
Robin Adair
Spencer Charters
Spencer Tracy
Thomas Pogue
Tom Mahoney
Wallace Sullivan
Wally Maher
William Billy Benedict
William Newell
George Oppenheimer
Jack Conway
Ann Doran
Beatrice Blinn
Beatrice Curtis
Cecil Cunningham
Charles Sullivan
Christian Rub
Douglass Dumbrille
Edward Gargan
Edward J. Le Saint
Edward Keane
Emma Dunn
Ethel Palmer
Florence Wix
Frank Hammond
Gene Morgan
George Bancroft
George Cooper
George Gabby Hayes
George Meeker
Gustav von Seyffertitz
H.B. Warner
Hal Budlong
Harry Holden
Jack Mower
James Millican
Janet Eastman
Jean Arthur
John Picorri
John Wray
Lee Shumway
Lillian Ross
Lionel Stander
Margaret Matzenauer
Margaret McWade
Mary Lou Dix
Mayo Methot
Muriel Evans
Patricia Monroe
Paul Hurst
Pauline Wagner
Peggy Page
Pierre Watkin
Russell Hicks
Ruth Donnelly
Stanley Andrews
Vesey ODavoren
Walter Catlett
Warren Hymer
Wryley Birch
Wyrley Birch
Andy Devine
Anthony Kemble-Cooper
Anthony Marsh
C. Aubrey Smith
Carlyle Blackwell
Carlyle Blackwell Jr.
Charles Bancroft
Conway Tearle
Dean Richmond Bentor
Dorothy Granger
Howard Wilson
Jeanne Hart
John Bryan
José Rubio
Katherine DeMille
Lita Chevret
Lon McCallister
Maurice Murphy
Reginald Denny
Robert Warwick
Violet Kemble Cooper
Virginia Hammond
Leslie Howard
Al Shean
Anthony Jowitt
Beatrice Roberts
Belle Mitchell
Bill OBrien
Bruce Mitchell
Bud Geary
Carl Stockdale
Chester Gan
Cy Kendall
Don Rowan
Donald Hall
Edgar Kennedy
Edward Earle
Erich von Stroheim
Flora Finch
Frank Mayo
Frank Sheridan
Fred M. Fagan
Fritzi Brunette
G. Pat Collins
George Guhl
George Magrill
Gertrude Astor
Harry Myers
Harry Strang
Helen Shipman
Helene Chadwick
Jack Holt
Jack Kennedy
James Brewster Thompson
James Macklin
Jane Barnes
Jason Robards Sr.
Jean Acker
Jeanette MacDonald
Jim Farley
John Kelly
John Pearson
John Skins Miller
Kenneth Harlan
King Baggot
Mae Digges
Margaret Irving
Maude Allen
Naomi Childers
Nyas Berry
Orrin Burke
Oscar Apfel
Otho Wright
Pat OMalley
Ralph Lewis
Rhea Mitchell
Richard Carle
Robert E. Hopkins
Roger Imhof
Rosemary Theby
Russell Simpson
Sam Ash
Samuel Glasser
Shirley Ross
Sidney Bracey
Spec ODonnell
Tandy MacKenzie
Ted Healy
Tom Dugan
Tommy Bupp
Tudor Williams
Vernon Dent
Vince Barnett
W.J. OBrien
Wilbur Mack
William Ricciardi
Anita Loos
D.W. Griffith
Billy House
Blanche Yurka
Boyd Irwin
Chappell Dossett
Claude Gillingwater
Cyril McLaglen
Dale Fuller
Donald Haines
Donald Woods
Eily Malyon
Elizabeth Allan
Fay Chaldecott
Fritz Leiber
Isabel Jewell
Jimmy Aubrey
Lucille La Verne
Mitchell Lewis
Ralf Harolde
Richard Alexander
Ronald L. Coleman
Sam Flint
Solange Dantas dos Santos
W.P. Lipscomb
Walter Kingsford
Ronald Colman
S.N. Behrmann
Albert Conti
Austin Parker
Barbara Read
Charles Winninger
Gladden James
John Dusty King
John Hamilton
Lane Chandler
Lucile Watson
Mischa Auer
Nan Grey
Nella Walker
Ray Milland
Adele Comandini
Deanna Durbin
Henry Koster
Alexander Leftwich
Arthur Ayleswofth
Charles Richman
Dickie Moore
Egon Brecher
Erin OBrien-Moore
Florence Roberts
Frank Reicher
Gale Sondergaard
Geza Herczeg
Gloria Holden
Harry Davenport
Harry Worth
Heinz Herald
Henry ONeill
Iphigenie Castiglioni
John Litel
Joseph Schildkraut
Louis Calhern
Lumsden Hare
Montagu Love
Moroni Olsen
Morris Carnovsky
Paul Everton
Ralph Morgan
Robert Cummings Sr.
Rolla Gourvitch
Vladimir Sokoloff
Walter O. Stahl
William Von Brincken
Irving Rapper
Norman Reilly Raine
Paul Muni
Al Bridge
Alan Bridge
Alex DArcy
Bobby Watson
Byron Foulger
Colton Scott
Edgar Dearing
Edmund Mortimer
Esther Dale
Frank C. Wilson
Frank Wilson
George C. Pearce
John Tyrrell
Kathryn Curry
Leonard Carey
Marguerite Churchill
Miki Morita
Mitchell Harris
Molly Lamont
Paul Stanton
Ralph Bellamy
Robert (Tex) Allen
Wyn Cahoon
Zita Moulton
Leo McCarey
Viña Delmar
Art Berry Sr.
Betty Alden
Bill Fisher
Billy Burrud
Billy Gilbert
Dale Van Every
David Kerman
Dick Howard
Don Brodie
Donald Briggs
Frank Sully
Gene Reynolds
Gertrude Sutton
Gil Perkins
Goldie Sloan
Harold Kreuger
Jack Sterling
James Kilgannon
Jay Ward
Jimmy Conlin
John Carradine
Katherine Kenworthy
Kenneth Wilson
Larry Fisher
Lee Van Atta
Lester Dorr
Lloyd Ingraham
Marc Connelly
Marc Connolly
Melvyn Douglas
Mira McKinney
Monte Vandergrift
Oscar OShea
Philo McCullough
Richard Powell
Roger Gray
Wally Albright
William Arnold
Freddie Bartholomew
John Lee Mahin
Victor Fleming
Bernard Punsley
Bernard Punsly
Bill Pagwell
Billy Halop
Bobby Jordan
Charles Peck
Charlotte Treadway
Claire Trevor
Dead End Kids
Don Red Barry
Earl Askam
Elisabeth Risdon
Elizabeth Risdon
Esther Howard
Frank Shields
Gabriel Dell
Gertrude Valerie
Gilbert Clayton
Humphrey Bogart
Huntz Hall
Jerry Cooper
Joel McCrea
Kath Ann Lujan
Larry Harris
Leo Gorcey
Lucille Browne
Marjorie Main
Maude Lambert
Mickey Martin
Minor Watson
Mona Monet
Norman Salling
Sidney Kibrick
Wesley Girard
Lillian Hellman
Sylvia Sidney
Caroline Chew
Charles B. Middleton
Ching Wah Lee
Donald Davis
Keye Luke
Lotus Liu
Maly Wong
Mary Wong
Peach Seller
Philip Ahn
Richard Loo
Roland Got
Sammee Tong
Soo Yong
Suzanna Kim
Tess Slesinger
Tilly Losch
William Law
20th Century-Fox
Arthur Rankin
Chief John Big Tree
David Clyde
George Chan
Henry Mowbray
Hugh Buckler
Jane Wyatt
Jeremy Irons Sr.
John Burton
John Howard
John Miltern
John T. Murray
John Tettener
Margo
Max Rabinowitz
Milton A. Owen
Noble Johnson
Ruth Robinson
Sam Jaffe
Thomas Mitchell
Val Duran
Wedgewood Nowell
Willie Fung
Ada Leonard
Adele Pearce
Alison Craig
Andrea Leeds
Ann Miller
Anthony Veiller
Ben Hendricks Jr.
Bob Perry
Byron Stevens
Constance Collier
Diana Gibson
Elizabeth Dunne
Eve Arden
Frances Gifford
Fred Santley
Gail Patrick
Gerda Mora
Harriet Brandon
Huntley Gordon
Huntly Gordon
Jack Carson
Jack Gardner
Jack Gargan
Jack Rice
Jane Rhodes
Jean Rouverol
Josephine Whittell
Julie Kingdon
Larry Steers
Linda Gray
Lynda Grey
Lynn Gabriel
Lynton Brent
Margaret Early
Mary Bovard
Mary Jane Shower
Morrie Ryskind
Norma Drury
Peggy ODonnell
Philip Morris
Phyllis Kennedy
Theodore Kosloff
Theodore von Eltz
Whitey
William Corson
Gregory La Cava
A.W. Sweatt
Adela Rogers St. John
Adrian Rosley
Alan Campbell
Ben Hecht
Billy Coe
Billy Dooley
Bob Carson
Budd Schulberg
Carlton Elliott Griffin
Carole Landis
Clara Blandick
David Newell
David O. Selznick
Elizabeth Jenns
Gayne Whitman
Guinn Big Boy Williams
Harry Hayden
I. Stanford Jolley
Ken Howell
Kenneth Howell
Lana Turner
Leonard Walker
Marshall Neilan
May Robson
Peggy Wood
Ring Lardner Jr.
Trixie Friganza
Ursula Kent
W. Howard Greene
Dorothy Parker
Janet Gaynor
Selznick International Pictures
Alec Harford
Austin Fairman
Charles McNaughton
Claude Rains
Eugene Pallette
Hal Brazeale
Howard Hill
James Baker
Janet Shaw
John Sutton
Kenneth Hunter
Leonard Willey
Lester Matthews
Leyland Hodgson
Marten Lamont
Melville Cooper
Patric Knowles
Reginald Sheffield
Robert Noble
Seton I. Miller
Val Stanton
Wilfred Lucas
William Keighley
Warner Bros.-First National
A.S. Byron
Alice Faye
Cecil Weston
Charles Tannen
Chick Chandler
Creighton Chaney
Cully Richards
Dixie Dunbar
Don Ameche
Don Douglas
Eddie Collins
Eleanor Wesselhoeft
Ethel Merman
Harold Goodwin
Helen Westley
Irving Berlin
Jack Haley
Jack Pennick
James Flavin
Jane Jones
Joe King
Kathryn Scola
Kay Griffith
Lynne Barkley
Mel Kalish
Otto H. Fries
Paul McVey
Ralph Dunn
Richard Sherman
Robert Gleckler
Robert Lowery
Ruth Terry
Wally Vernon
Henry King
Lamar Trotti
Tyrone Power
Addison Richards
Barbara Bedford
Bobs Watson
Edward Norris
Eleanore Griffin
Frankie Thomas
Henry Hull
Jay Novello
Jimmy Butler
John Meehan
John Walsh
Kane Richmond
Leslie Fenton
Martin Spellman
Mickey Rentschler
Orville Caldwell
Robert Emmett Keane
Roger Converse
Sidney Miller
Tommy Noonan
Victor Kilian
Walter Young
William Worthington
Dore Schary
Norman Taurog
Angela Baddeley
Athene Seyler
Basil Gill
Bernard Miles
Bombardier Billy Wells
Cecil Parker
Charles Quartermaine
Dilys Davies
Edward Chapman
Eliot Makeham
Elizabeth Hill
Emlyn Williams
Felix Aylmer
Francis L. Sullivan
Frank Wead
Haidee Wright
Jane Barrett
Joan Kemp-Welch
Josephine Wilson
Joss Ambler
Joyce Bland
Kynaston Reeves
Leslie Phillips
Mary Clare
Nora Swinburne
Penelope Dudley-Ward
Percy Parsons
Ralph Richardson
Rex Harrison
Rosalind Russell
Ian Dalrymple
Realization DArt Cinematographique
Bertram Bloch
Diane Bernard
Dorothy Peterson
Eddie Graham
Edgar Edwards
Fay Helm
Geraldine Fitzgerald
Henry Travers
Herbert Rawlinson
Ila Rhodes
Jack Goodrich
Jeffrey Sayre
John Harron
John Ridgely
Lotta Williams
Lottie Williams
Marian Alden
Maris Wrixon
Mary Currier
Nat Carr
Paulette Evans
Richard Bond
Ronald Reagan
Rosella Towne
Speirs Buskell
Stuart Holmes
Virginia Brissac
Wilda Bennett
Will Morgan
Bette Davis
Austin Trevor
Caven Watson
Cyril Raymond
David Tree
Edmund Breon
Eric Maschwitz
Frederick Leister
Greer Garson
Guy Middleton
James Hilton
Jill Furse
John Longden
John Mills
Judith Furse
Louise Hampton
Lyn Harding
Milton Rosmer
Nigel Stock
Patrick Ludlow
Paul Henreid
Paul Von Hernried
Ronald Ward
Scott Sunderland
Simon Lack
Terry Kilburn
R.C. Sherriff
Sam Wood
Astrid Allwyn
Bill Lee Brown
Carol Hughes
Carolyn Hughes
Charles Boyer
Dell Henderson
Ferike Boros
Gerald Mohr
Harold Miller
Joan Leslie
Lee Bowman
Maurice Moscovich
Scotty Beckett
Delmer Daves
Adrian Booth
Alex Novinsky
Allan Cavan
Anne Cornwall
Arthur Loft
Arthur Thalasso
Baby Dumpling
Beulah Bondi
Billy Watson
Buelah Bondi
Charles R. Moore
Clyde Dilson
Count Stefanelli
Craig Stevens
Dave Willock
Delmar Watson
Dick Elliott
Dick Jones
Donald Kerr
Dora Clement
Dorothy Comingore
Douglas Evans
Dub Taylor
Dulce Daye
Ed Brewer
Ed Randolph
Eddie Fetherston
Eddie Fetherstone
Edmund Cobb
Edward Arnold
Erville Alderson
Evalyn Knapp
Evelyn Knapp
Ferris Taylor
Frank Austin
Frank Jaquet
Fred Hoose
Frederick Burton
Fredrick Burton
Garry Watson
George McKay
H.V. Kaltenborn
Hal Cooke
Hank Mann
Harry A. Bailey
Harry Carey
Harry Watson
Helen Jerome Eddy
Jack Cooper
Jack Egan
James M. McNamara
John Ince
John Russell
Johnny Russell
June Gittelson
Ken Carpenter
Lafe [Lafayette] McKee
Larry Simms
Laura Treadwell
Lloyd Whitlock
Louis Jean Heydt
Mabel Forrest
Margaret Mann
Matt McHugh
Maurice Cass
Maurice Costello
Myonne Walsh
Robert Middlemass
Robert Walker
Vera Lewis
Victor Travers
Walter Soderling
Wright Kramer
James Stewart
Sidney Buchman
Alexander Granach
Alexander Schoenberg
Alexander Schonberg
Alexandra Grannach
Armand Kaliz
Bela Lugosi
Billy Wilder
Dorothy Adams
Elizabeth Williams
Ellinor Vanderveer
Emily Cabanne
Ernst Lubitsch
Felix Bressart
Florence Shirley
George Tobias
Harry Semels
Jenifer Gray
Jo Gilbert
Jody Gilbert
Kay Stewart
Lucille Pinson
Marek Windheim
Melchior Lengyel
Monya Andre
Paul Weigel
Peggy Moran
Sandra Morgan
Sig Rumann
Symona Boniface
Tamara Shayne
Walter Reisch
William Irving
Wolfgang Zilzer
Charles Brackett
Baldwin Cooke
Barbara Pepper
Betty Field
Bob Steele
Carl Pitti
Charles Bickford
Charles Watt
Eddie Dunn
Granville Bates
Helen Lynd
Henrietta Kay
Howard Mitchell
Jack Lawrence
John Beach
Leigh Whipper
Leona Roberts
Lon Chaney
Lon Chaney Jr
Noah Beery Jr.
Roman Bohnen
Silver Tip Baker
Whitney de Rhan
Burgess Meredith
Eugene Solow
Hal Roach (production company)
Lewis Milestone
Al Lee
Artie Ortego
Berton Churchill
Bill Cody
Brenda Sue Fowler
Bryant Washburn
Buddy Roosevelt
Chris Phillips
Cornelius Keefe
Dorothy Appleby
Duke R. Lee
Ed Brady
Elvira Ríos
Florence Lake
Franklin Farnum
Franklyn Farnum
Hank Worden
Helen Gibson
Jack Mohr
Jim Mason
Joe Rickson
John Eckert
Kent Odell
Leonard Trainor
Louis Mason
Louise Platt
Many Mules
Marga Ann Deighton
Margaret Smith
Mary Kathleen Walker
Merrill McCormack
Nora Cecil
Patrick Wayne
Patsy Doyle
Si Jenks
Steve Clemente
Ted Billings
Tex Driscoll
Theodore Lorch
Tim Holt
Tom Tyler
Vester Pegg
Walter McGrail
Wiggie Blowne
William Hopper
Yakima Canutt
John Wayne
Walter Wanger (production company)
Abe Dinovitch
Adriana Caselotti
Bert Lahr
Billy Bletcher
Billy Curtis
Buddy Ebsen
Carol Tevis
Clarence Swensen
Daisy Earles
Edgar Allan Woolf
Frank Packard
George Ministeri
Gus Wayne
Harry Earles
Harry Monty
Jerry Maren
Jimmy Rosen
Karl Slover
Lee Murray
Lillian Porter
Lois January
Major Doyle
Margaret Hamilton
Meinhardt Raabe
Mickey Carroll
Noel Langley
Oliver Smith
Pat Walshe
Pinto Colvig
Terry
The Munchkins
The Singer Midgets
Walter Miller
Yvonne Moray
Florence Ryerson
Judy Garland
Cecil Humphreys
Cecil Kellaway
Charles MacArthur
Flora Robson
Frank Benson
Helena Grant
Hugh Williams
Laurence Olivier
Mme. Alice Ahlers
Mme. Alice Ehlers
Rex Downing
