"name","dept","area","count","adjustedcount","year"
David Coyle,University College Dublin,chiconf,1.0,0.25,2014
Yury Makarychev,TTI Chicago,stoc,1.0,0.25,2018
Xiaogang Wang 0001,Chinese University of Hong Kong,icml,1.0,0.2,2021
Chunhua Shen,Zhejiang University,cvpr,1.0,0.2,2014
Haibo Chen 0001,Shanghai Jiao Tong University,hpca,1.0,0.16667,2018
Kaiyu Hang,Rice University,iros,1.0,0.2,2012
Benjamin B. Bederson,University of Maryland - College Park,chiconf,1.0,0.2,1997
Jianmin Wang 0001,Tsinghua University,cvpr,4.0,0.76667,2019
Jiangtao Wang,Lancaster University,www,2.0,0.35,2021
Jianguo Wang 0001,Purdue University,sigir,1.0,0.16667,2013
Oliver Deussen,University of Konstanz,siggraph-asia,3.0,0.48571,2011
Clayton Scott,University of Michigan,nips,1.0,0.33333,2017
Thu D. Nguyen,Rutgers University,fast,1.0,0.2,2016
Norman M. Sadeh,Carnegie Mellon University,www,1.0,0.33333,2014
Manolis Koubarakis,University of Athens,aaai,2.0,0.83333,2014
Massimiliano Pontil,University College London,nips,1.0,0.33333,2016
Tat-Seng Chua,National University of Singapore,acl,1.0,0.5,2007
Jun Zhao 0001,Chinese Academy of Sciences,acl,6.0,0.97738,2021
Snehasis Mukhopadhyay,IUPUI,sigir,1.0,0.25,1996
George Varghese,Univ. of California - Los Angeles,www,1.0,0.2,2012
Elisa Bertino,Purdue University,pets,1.0,0.33333,2004
Gary W. Meyer,University of Minnesota,siggraph,1.0,0.5,1998
Raymond T. Ng,University of British Columbia,vldb,1.0,0.5,1998
Chita R. Das,Pennsylvania State University,hpca,1.0,0.25,2000
José Meseguer,Univ. of Illinois at Urbana-Champaign,oopsla,1.0,1.0,1990
Mark S. Drew,Simon Fraser University,iccv,1.0,0.5,2001
Zhenhui Li,Pennsylvania State University,kdd,2.0,0.58333,2017
Kewei Tu,ShanghaiTech University,naacl,1.0,0.33333,2021
Jae W. Lee,Seoul National University,isca,1.0,0.14286,2015
Dan Olteanu,University of Oxford,vldb,2.0,0.66667,2012
Animesh Trivedi,VU Amsterdam,usenixatc,1.0,0.33333,2012
Ce Zhang 0001,ETH Zurich,sigmod,1.0,0.25,2010
Timothy Bourke,Ecole Normale Superieure,emsoft,1.0,0.5,2006
Daniel Jackson 0001,Massachusetts Institute of Technology,icse,1.0,0.5,2016
Baba C. Vemuri,University of Florida,iccv,3.0,1.0833,2007
Shen Furao,Nanjing University,aaai,1.0,0.2,2018
Lap Chi Lau,University of Waterloo,focs,1.0,1.0,2004
Taesoo Kim,Georgia Institute of Technology,ccs,2.0,0.58333,2016
Michael J. Black,Max Planck Society,cvpr,1.0,0.33333,1996
Yufei Tao,Chinese University of Hong Kong,vldb,1.0,0.25,2018
George M. Turkiyyah,American University of Beirut,icra,1.0,0.33333,1987
Randy H. Katz,Univ. of California - Berkeley,dac,1.0,0.5,1987
Martin Kong,University of Oklahoma,pldi,1.0,0.14286,2014
David C. Parkes,Harvard University,ijcai,2.0,0.58333,2009
Changhee Jung,Purdue University,asplos,1.0,0.33333,2019
Yannis Kotidis,AUEB,sigmod,1.0,0.2,2010
Ronald Cramer,CWI,eurocrypt,1.0,0.25,2003
Li Niu 0002,Shanghai Jiao Tong University,aaai,2.0,0.45,2021
Sasa Misailovic,Univ. of Illinois at Urbana-Champaign,cav,1.0,0.33333,2016
Dongyan Zhao 0001,Peking University,sigmod,1.0,0.16667,2015
Xi Chen 0001,Columbia University,wine,2.0,0.66667,2006
Serge Gaspers,UNSW,ijcai,1.0,0.2,2013
David A. Wagner 0001,Univ. of California - Berkeley,eurocrypt,1.0,0.25,2006
Thomas Sauerwald,University of Cambridge,soda,2.0,0.83333,2008
Janos Sztipanovits,Vanderbilt University,emsoft,1.0,0.2,2010
Hong Cheng 0001,Chinese University of Hong Kong,vldb,1.0,0.2,2012
Jingjin Yu,Rutgers University,rss,1.0,0.5,2020
Deming Chen,Univ. of Illinois at Urbana-Champaign,isca,1.0,0.16667,2019
Mario Marchand,Université Laval,icml,2.0,0.53333,2011
Ben Hardekopf,Univ. of California - Santa Barbara,pldi,1.0,0.14286,2011
Ravi Ramamoorthi,Univ. of California - San Diego,siggraph,4.0,1.3667,2017
Henrik I. Christensen,Univ. of California - San Diego,iros,3.0,0.78333,2016
Zhewei Wei,Renmin University of China,kdd,1.0,0.14286,2021
James Hays,Georgia Institute of Technology,siggraph,1.0,0.2,2014
Bastian Leibe,RWTH Aachen,iccv,3.0,0.86667,2009
Torsten Grust,University of Tübingen,sigmod,1.0,0.5,2020
John K. Tsotsos,York University,iccv,1.0,0.33333,1995
Mikhail Belkin,Univ. of California - San Diego,nips,1.0,0.33333,2004
Hinrich Schütze,LMU Munich,nips,1.0,1.0,1992
Christina Lioma,University of Copenhagen,sigir,1.0,0.2,2020
John P. Steinberger,Tsinghua University,eurocrypt,1.0,0.5,2011
Hongxun Yao,Harbin Institute of Technology,cvpr,1.0,0.25,2009
Serge Abiteboul,Ecole Normale Superieure de Cachan,stoc,1.0,0.5,1991
Gianfranco Doretto,West Virginia University,cvpr,1.0,0.33333,2008
Mark Johnson 0001,Macquarie University,acl,1.0,0.33333,2013
Eric A. Hansen,Mississippi State University,aaai,1.0,0.5,1998
Lin Tan 0001,Purdue University,fse,1.0,0.11111,2020
Josep Torrellas,Univ. of Illinois at Urbana-Champaign,hpca,2.0,0.58333,2019
David Page,University of Wisconsin - Madison,ismb,1.0,0.33333,2002
Nikos Komodakis,University of Crete,eccv,1.0,1.0,2010
He Wang 0002,University of Leeds,aaai,1.0,0.16667,2021
Daniel Gooch,Open University UK,chiconf,1.0,0.25,2016
Oded Shmueli,Technion,sigmod,1.0,0.33333,1992
Tovi Grossman,University of Toronto,uist,5.0,1.3667,2018
Barbara Plank,IT University of Copenhagen,aaai,1.0,0.33333,2015
Geoffrey J. Gordon,Carnegie Mellon University,icml,1.0,0.2,2017
Balaji Prabhakar,Stanford University,focs,1.0,0.33333,2003
Friedhelm Meyer auf der Heide,Paderborn University,stoc,2.0,0.83333,1990
Jae W. Lee,Seoul National University,hpca,1.0,0.1,2021
Ulrich Kremer,Rutgers University,fse,1.0,0.33333,2020
René Vidal,Johns Hopkins University,cvpr,4.0,1.6667,2004
Qiaozhu Mei,University of Michigan,www,1.0,0.25,2021
Thomas Lukasiewicz,University of Oxford,aaai,1.0,0.33333,2017
Danny Dig,University of Colorado Boulder,icse,1.0,0.25,2016
Shree K. Nayar,Columbia University,cvpr,4.0,1.8333,2000
Anup Basu,University of Alberta,iros,1.0,0.33333,2005
Neil Spring,University of Maryland - College Park,imc,1.0,0.25,2010
David P. Woodruff,Carnegie Mellon University,icml,1.0,0.16667,2017
Haruo Yokota,Tokyo Institute of Technology,icde,1.0,0.5,2005
Thamar Solorio,University of Houston,acl,1.0,0.33333,2011
Elaine Short,Tufts University,iros,1.0,0.16667,2020
Matthias Jarke,RWTH Aachen,sigmod,1.0,0.5,1982
Cees Snoek,University of Amsterdam,eccv,2.0,0.5,2016
Tian Guo 0001,Worcester Polytechnic Institute,kdd,1.0,0.16667,2020
Weikuan Yu,Florida State University,ics,1.0,0.25,2015
Zimu Zhou,Singapore Management University,ubicomp,3.0,0.54167,2017
Markulf Kohlweiss,University of Edinburgh,ccs,1.0,0.16667,2015
Ketil Malde,University of Bergen,ismb,1.0,0.33333,2011
Maria Christakis,Max Planck Society,ase,1.0,0.5,2016
Xuemin Lin 0001,UNSW,icml,1.0,0.33333,2020
Tianyi Zhang 0001,Purdue University,chiconf,1.0,0.25,2018
Ofer Strichman,Technion,cav,1.0,0.5,2001
David A. McAllester,TTI Chicago,acl,1.0,0.25,2015
Oussama Khatib,Stanford University,iros,1.0,0.25,2007
Kartik Gopalan,Binghamton University,rtas,1.0,0.2,2007
Michael Sedlmair,University of Stuttgart,uist,1.0,0.2,2021
Giuseppe De Giacomo,Sapienza University of Rome,ijcai,3.0,1.0833,2013
Niko Sünderhauf,Queensland University of Technology,rss,1.0,0.33333,2018
Manish Shrivastava 0001,IIIT Hyderabad,naacl,2.0,0.47619,2016
John Kubiatowicz,Univ. of California - Berkeley,hpca,1.0,0.25,2004
Viktor K. Prasanna,University of Southern California,vldb,1.0,0.2,2021
Yongfeng Zhang,Rutgers University,sigir,2.0,0.29167,2018
Qi Liu 0003,USTC,kdd,1.0,0.11111,2021
Qing Li 0001,The Hong Kong Polytechnic University,emnlp,2.0,0.53333,2020
Ziawasch Abedjan,University of Hannover,icde,1.0,0.1,2019
Alin Deutsch,Univ. of California - San Diego,sigmod,1.0,0.2,2005
Stefan Katzenbeisser 0001,TU Darmstadt,pets,1.0,0.25,2017
Michael Rabinovich,Case Western Reserve University,imc,1.0,0.25,2013
Alin Albu-Schäffer,TU Munich,iros,8.0,2.0111,2011
Mingwei Xu,Tsinghua University,ccs,1.0,0.16667,2021
Paolo Ferragina,University of Pisa,soda,1.0,0.5,2004
Karl F. MacDorman,IUPUI,icra,1.0,1.0,2000
Tamim Asfour,Karlsruhe Institute of Technology,iros,3.0,0.7,2020
Thomas F. Wenisch,University of Michigan,isca,1.0,0.2,2006
Pan Li 0005,Purdue University,kdd,1.0,0.25,2019
Max Welling,University of Amsterdam,icml,2.0,0.83333,2015
Anil Seth,IIT Kanpur,lics,1.0,0.33333,1998
Tianbao Yang,University of Iowa,cvpr,1.0,0.25,2015
Kris Hauser,Univ. of Illinois at Urbana-Champaign,rss,1.0,0.5,2019
Miron Livny,University of Wisconsin - Madison,hpdc,3.0,1.0333,2003
Falk Scholer,RMIT University,sigir,2.0,0.5,2015
Michael Rabinovich,Case Western Reserve University,icde,1.0,0.5,1994
Niko Sünderhauf,Queensland University of Technology,iros,1.0,0.16667,2016
Peter Stone,University of Texas at Austin,icml,1.0,0.25,2020
Cong Liu 0005,University of Texas at Dallas,usenixatc,1.0,0.5,2020
Mary Jane Irwin,Pennsylvania State University,oopsla,1.0,0.16667,2003
Krishnendu Chatterjee,IST Austria,cav,1.0,0.25,2020
Rosario Gennaro,CUNY,stoc,1.0,0.25,2001
Grant Schoenebeck,University of Michigan,aaai,1.0,0.5,2004
Cláudio T. Silva,New York University,iros,1.0,0.14286,2021
Yunchao Wei,University of Technology Sydney,nips,1.0,0.25,2018
Shafiq R. Joty,Nanyang Technological University,naacl,2.0,0.83333,2019
Daniel Mossé,University of Pittsburgh,rtas,1.0,0.33333,2018
Hongyu Zhang 0002,University of Newcastle,usenixatc,1.0,0.083333,2018
Nancy M. Amato,Univ. of Illinois at Urbana-Champaign,iros,1.0,0.33333,2005
Dan Feldman,University of Haifa,ccs,1.0,0.33333,2018
Chris Ding,Chinese University of Hong Kong,aaai,1.0,0.33333,2019
Alexander L. Wolf,Univ. of California - Santa Cruz,sigmod,1.0,0.25,1996
Phillip Isola,Massachusetts Institute of Technology,nips,1.0,0.14286,2018
Qiang Yang 0001,HKUST,www,2.0,0.45,2010
Mark Dredze,Johns Hopkins University,chiconf,1.0,0.2,2016
Arun Rajkumar,IIT Madras,icml,1.0,0.25,2015
Joe Pitt-Francis,University of Oxford,icra,1.0,0.5,1998
Mathias Payer,EPFL,usenixatc,1.0,0.25,2020
Sanjam Garg,Univ. of California - Berkeley,eurocrypt,3.0,1.3333,2018
Nikolay Atanasov,Univ. of California - San Diego,iros,3.0,1.1667,2020
Hongyang Chao,Sun Yat-sen University,eccv,1.0,0.2,2014
Christian Igel,University of Copenhagen,nips,1.0,0.2,2019
Ari Rappoport,Hebrew University of Jerusalem,siggraph,1.0,0.5,1998
Angelos D. Keromytis,Georgia Institute of Technology,oakland,1.0,0.25,2007
Laks V. S. Lakshmanan,University of British Columbia,icde,1.0,0.5,1992
Somak Aditya,IIT Kharagpur,naacl,1.0,0.090909,2015
Lian Li 0002,Chinese Academy of Sciences,ase,1.0,0.16667,2018
Tom M. Mitchell,Carnegie Mellon University,emnlp,1.0,0.2,2021
Jian Cao 0001,Shanghai Jiao Tong University,vldb,1.0,0.2,2014
Erez Zadok,Stony Brook University,usenixatc,1.0,0.25,2018
Amanda Prorok,University of Cambridge,iros,1.0,0.25,2020
Sijia Liu 0001,Michigan State University,nips,1.0,0.14286,2019
Jia Wu 0001,Macquarie University,ijcai,1.0,0.2,2015
Michael S. Brown,York University,eccv,1.0,0.25,2010
Cynthia Matuszek,Univ. of Maryland - Baltimore County,ubicomp,1.0,0.2,2009
Pang-Ning Tan,Michigan State University,kdd,1.0,0.33333,2009
Oscar Chaparro,College of William and Mary,fse,1.0,0.125,2017
Michael Hanus,University of Kiel,popl,1.0,0.33333,1994
Michael Werman,Hebrew University of Jerusalem,eccv,1.0,0.25,2016
Nan Cao,Tongji University,vis,2.0,0.36667,2021
Nikos Mamoulis,University of Ioannina,vldb,1.0,0.33333,2008
Peter A. Heeman,OHSU,acl,1.0,0.5,1994
Ian Goldberg,University of Waterloo,usenixsec,1.0,0.2,2014
Henry Hoffmann,University of Chicago,fse,1.0,0.25,2017
Partha P. Talukdar,IISc Bangalore,emnlp,2.0,0.83333,2017
Grigore Rosu,Univ. of Illinois at Urbana-Champaign,lics,1.0,0.5,2019
Wei You,Renmin University of China,oakland,2.0,0.29167,2021
Alexander G. Gray,Georgia Institute of Technology,nips,1.0,0.25,2002
Sungroh Yoon,Seoul National University,icde,1.0,0.2,2016
Jörg Rothe,University of Düsseldorf,aaai,1.0,0.33333,2005
Andrea C. Arpaci-Dusseau,University of Wisconsin - Madison,fast,5.0,1.0095,2013
Lynn Dombrowski,IUPUI,ubicomp,1.0,0.2,2013
Anant Agarwal,Massachusetts Institute of Technology,isca,2.0,0.75,1988
Rajesh Ranganath,New York University,icml,2.0,0.7,2019
Edmund H. Durfee,University of Michigan,aaai,1.0,0.5,2014
Martin E. Dyer,University of Leeds,soda,1.0,0.33333,2016
Mateo Valero,Polytechnic University of Catalonia,micro,1.0,0.33333,1997
Gennady Pekhimenko,University of Toronto,hpca,2.0,0.30952,2016
Philippe Giguère,Université Laval,icra,2.0,0.4,2015
Anil K. Seth,University of Sussex,icra,1.0,0.25,2004
Yannis Panagakis,Middlesex University,cvpr,1.0,0.25,2013
Daniel G. Aliaga,Purdue University,siggraph,1.0,0.1,1991
Haim Levkowitz,University of Massachusetts Lowell,vis,1.0,1.0,1991
Kirk Pruhs,University of Pittsburgh,vldb,1.0,0.25,2006
Luca P. Carloni,Columbia University,iccad,1.0,0.25,1999
Meiyi Ma,Vanderbilt University,nips,1.0,0.25,2020
Alfons Kemper,TU Munich,sigmod,1.0,0.16667,2013
Jarke J. van Wijk,TU Eindhoven,vis,3.0,1.8333,2005
Stephan Weiss 0002,University of Klagenfurt,icra,2.0,0.5,2010
Tsung-Yi Ho,Chinese University of Hong Kong,dac,2.0,0.36667,2017
Eduardo Blanco 0002,Arizona State University,acl,1.0,0.5,2016
Xiaojun Bi 0001,Stony Brook University,uist,1.0,0.2,2012
Chenren Xu,Peking University,mobicom,1.0,0.1,2020
Yuval Rabani,Hebrew University of Jerusalem,focs,1.0,0.25,2006
Joseph Gonzalez 0001,Univ. of California - Berkeley,icra,1.0,0.2,2019
Angjoo Kanazawa,Univ. of California - Berkeley,nips,1.0,0.14286,2020
Petr Slovák,King's College London,chiconf,1.0,0.33333,2017
Peter Müller 0001,ETH Zurich,cav,1.0,0.33333,2016
Xu He,Hunan University,iccad,1.0,0.16667,2011
Rodrigo M. M. Ventura,Universidade de Lisboa,iros,2.0,0.36667,2021
Longin Jan Latecki,Temple University,cvpr,2.0,0.53333,2009
Chengqing Zong,Chinese Academy of Sciences,acl,3.0,1.0833,2013
Stefan Harmeling,University of Düsseldorf,cvpr,1.0,0.25,2010
Phil Kearns,College of William and Mary,pldi,1.0,0.33333,1987
Christos Papachristos,University of Nevada,iros,1.0,0.33333,2015
Bernd Hamann,Univ. of California - Davis,vis,2.0,0.45,2000
Rafael Pass,Cornell University,focs,1.0,0.33333,2010
Jason L. Pacheco,University of Arizona,icml,1.0,0.33333,2018
Fabian Monrose,University of North Carolina,ndss,1.0,0.2,2015
Sachin Katti,Stanford University,mobicom,1.0,0.33333,2016
Xi Li 0001,Zhejiang University,cvpr,2.0,0.45,2013
Frederik Armknecht,University of Mannheim,ccs,1.0,0.25,2015
Kai Chen 0012,Chinese Academy of Sciences,www,1.0,0.083333,2021
Simone Teufel,University of Cambridge,acl,1.0,0.5,2016
Peter N. Belhumeur,Columbia University,cvpr,2.0,1.0,1996
Tim Roughgarden,Columbia University,focs,1.0,0.5,2000
Juergen Gall,University of Bonn,cvpr,2.0,0.5,2012
Baba C. Vemuri,University of Florida,cvpr,2.0,0.61111,2004
Steven C. H. Hoi,Singapore Management University,icml,3.0,1.0333,2012
Xiao Wang 0012,Northwestern University,ccs,2.0,0.41667,2021
Leslie G. Valiant,Harvard University,ijcai,1.0,0.33333,1999
Luca Benini,ETH Zurich,mobicom,1.0,0.25,2000
Xiaoping Chen,USTC,nips,1.0,0.33333,2013
Kwang In Kim,UNIST,iccv,1.0,0.33333,2013
Shanton Chang,University of Melbourne,chiconf,1.0,0.33333,2016
Flavio Chierichetti,Sapienza University of Rome,nips,1.0,0.25,2017
Xu Chen 0017,Renmin University of China,sigir,2.0,0.36667,2017
Bernardo Cuenca Grau,University of Oxford,ijcai,1.0,0.33333,2009
Mahmut T. Kandemir,Pennsylvania State University,vldb,1.0,0.16667,2001
Wei-Chung Hsu,National Taiwan University,sc,1.0,0.5,1992
C. V. Jawahar,IIIT Hyderabad,cvpr,2.0,0.58333,2013
Jonathan Berant,Tel Aviv University,acl,1.0,0.33333,2010
Santosh S. Vempala,Georgia Institute of Technology,soda,1.0,0.5,2014
Jürgen Teich,University of Erlangen–Nuremberg,dac,1.0,0.25,2017
Julian Panetta,Univ. of California - Davis,siggraph,1.0,0.16667,2020
Mingming Gong,University of Melbourne,nips,3.0,0.61667,2019
Qi Zhu 0002,Northwestern University,iccad,2.0,0.34286,2016
Chang-Tien Lu,Virginia Tech,naacl,1.0,0.25,2019
Stefano Carpin,Univ. of California - Merced,iros,2.0,1.0,2021
Janne Lindqvist,Aalto University,chiconf,2.0,0.66667,2017
Aarti Gupta,Princeton University,icse,1.0,0.33333,2011
Robert E. Tarjan,Princeton University,stoc,1.0,0.33333,2003
Deepak Ganesan,University of Massachusetts Amherst,sensys,1.0,0.2,2018
Lav R. Varshney,Univ. of Illinois at Urbana-Champaign,nips,1.0,0.25,2011
Katherine J. Kuchenbecker,Max Planck Society,icra,1.0,0.5,2009
Han-Jia Ye,Nanjing University,ijcai,1.0,0.25,2015
Tak Wah Lam,University of Hong Kong,soda,2.0,0.83333,1999
Qing'an Li,Wuhan University,dac,1.0,0.33333,2014
David J. Crandall,Indiana University,icra,1.0,0.25,2020
Thomas Neumann 0001,TU Munich,icde,2.0,0.58333,2018
Yasuo Kuniyoshi,University of Tokyo,cvpr,1.0,0.25,2011
Fabian Kuhn,University of Freiburg,focs,1.0,0.33333,2018
Tor M. Aamodt,University of British Columbia,isca,2.0,0.58333,2020
Christophe Petit,University of Birmingham,eurocrypt,1.0,0.2,2016
Benjamin M. Marlin,University of Massachusetts Amherst,mobicom,1.0,0.2,2020
Dean M. Tullsen,Univ. of California - San Diego,hpca,1.0,0.33333,2007
Serge Abiteboul,Ecole Normale Superieure de Cachan,www,1.0,0.33333,2003
Jochen Trumpf,Australian National University,cvpr,1.0,0.33333,2011
Arie E. Kaufman,Stony Brook University,vis,1.0,0.16667,2007
Uwe D. Hanebeck,Karlsruhe Institute of Technology,iros,5.0,1.9167,2010
Bobby Bhattacharjee,University of Maryland - College Park,imc,1.0,0.25,2009
Sunita Sarawagi,IIT Bombay,icde,1.0,0.33333,1997
Subbarao Kambhampati,Arizona State University,ijcai,3.0,0.66667,2007
Yair Weiss,Hebrew University of Jerusalem,nips,1.0,0.5,2018
Chien-Ju Ho,Washington University in St. Louis,www,1.0,0.33333,2019
Ilya Sergey,National University of Singapore,cav,1.0,0.5,2020
Brian P. Bailey,Univ. of Illinois at Urbana-Champaign,icse,1.0,0.16667,2012
Bogdan Vasilescu,Carnegie Mellon University,ase,2.0,0.34286,2019
Ren Ng,Univ. of California - Berkeley,siggraph-asia,1.0,0.2,2017
Sunil Simon,IIT Kanpur,wine,1.0,0.5,2012
Prasun Dewan,University of North Carolina,ase,1.0,0.5,2008
Tali Kaufman,Bar-Ilan University,focs,1.0,0.5,2008
Dan Boneh,Stanford University,ndss,1.0,0.2,2010
Ari Juels,Cornell University,crypto,1.0,0.33333,1997
Ke Tang,SUSTech,aaai,1.0,0.25,2018
Shan-Hung Wu,National Tsing Hua University,sigmod,1.0,0.2,2021
Markus H. Gross,ETH Zurich,vis,1.0,0.33333,2021
Han-Jia Ye,Nanjing University,nips,1.0,0.2,2016
Antonina Kolokolova,Memorial University of Newfoundland,soda,1.0,0.25,2017
Babak Falsafi,EPFL,micro,1.0,0.16667,2016
Lai-Wan Chan,Chinese University of Hong Kong,aaai,1.0,1.0,1991
Shuo Shang,UESTC,icde,2.0,0.5,2013
Christoph M. Hoffmann,Purdue University,vis,1.0,0.2,2003
Xiaokang Yang,Shanghai Jiao Tong University,cvpr,4.0,0.91667,2015
Oded Goldreich 0001,Weizmann Institute of Science,eurocrypt,2.0,2.0,1984
Baoquan Chen,Peking University,vis,2.0,0.28571,2020
Hwanjo Yu,POSTECH,aaai,1.0,0.25,2020
Bernhard Steffen,TU Dortmund,cav,1.0,0.5,1990
Krzysztof Pietrzak,IST Austria,crypto,2.0,0.58333,2013
Iadh Ounis,University of Glasgow,sigir,2.0,0.45,2015
Marcus Ritt,UFRGS,ijcai,1.0,0.33333,2018
Benjamin W. Wah,Chinese University of Hong Kong,aaai,1.0,0.5,1999
Lu Zhang 0023,Peking University,fse,1.0,0.2,2010
Chandan K. Reddy,Virginia Tech,aaai,1.0,0.16667,2017
Yonina C. Eldar,Weizmann Institute of Science,icml,1.0,0.2,2021
Onur Mutlu,ETH Zurich,ics,1.0,0.16667,2017
Dan Xu 0002,HKUST,cvpr,1.0,0.14286,2021
Valeria Bertacco,University of Michigan,hpca,1.0,0.125,2006
Volker Tresp,LMU Munich,sigir,1.0,0.33333,2005
Norbert Siegmund,University of Leipzig,ase,1.0,0.33333,2019
Dimitris Fotakis,NTUA,wine,1.0,0.33333,2016
Alexander Binder,SUTD,icml,1.0,0.125,2018
Jon M. Kleinberg,Cornell University,focs,4.0,1.875,2005
Jignesh M. Patel,University of Wisconsin - Madison,sigmod,1.0,0.5,2007
Kai-Chiang Wu,National Chiao Tung University,iccad,1.0,0.33333,2008
Amit P. Sheth,University of South Carolina,aaai,1.0,0.33333,2015
Guiguang Ding,Tsinghua University,cvpr,1.0,0.25,2015
Lei Yu 0001,Binghamton University,micro,1.0,0.25,2017
James McCann,Carnegie Mellon University,chiconf,2.0,0.5,2021
Martha E. Pollack,Cornell University,dac,1.0,0.25,2006
Bruce W. Porter,University of Texas at Austin,aaai,1.0,0.5,1991
Manoj Prabhakaran,IIT Bombay,eurocrypt,1.0,0.2,2016
Yuanfang Cai,Drexel University,icse,2.0,0.4,2016
Armando Solar-Lezama,Massachusetts Institute of Technology,oopsla,2.0,0.47619,2019
Vern Paxson,Univ. of California - Berkeley,imc,3.0,0.7,2005
Aleksander Madry,Massachusetts Institute of Technology,focs,1.0,1.0,2010
Paul H. J. Kelly,Imperial College London,iros,1.0,0.33333,2020
Robert Platt Jr.,Northeastern University,nips,1.0,0.25,2004
Mauro Negri,Politecnico di Milano,sigmod,1.0,0.33333,1982
Hong Gao 0001,Harbin Institute of Technology,sigmod,1.0,0.25,2016
Jianhua Feng,Tsinghua University,vldb,1.0,0.25,2014
Michael K. Reiter,Duke University,ccs,1.0,0.33333,2010
Rebecca E. Grinter,Georgia Institute of Technology,chiconf,2.0,0.53333,2014
John Kubiatowicz,Univ. of California - Berkeley,isca,1.0,0.33333,1996
Zidong Wang,Brunel University London,cvpr,1.0,0.125,2021
Heiko Mantel,TU Darmstadt,oakland,1.0,1.0,2002
Ke Zhou 0003,University of Nottingham,sigir,2.0,0.36667,2015
David Van Horn,University of Maryland - College Park,icfp,1.0,0.25,2013
Michael J. Cafarella,University of Michigan,www,1.0,0.11111,2004
Sanguthevar Rajasekaran,University of Connecticut,emnlp,1.0,0.1,2021
Cheng Deng,Xidian University,vis,1.0,0.25,2017
Viktor Vafeiadis,Max Planck Society,asplos,1.0,0.5,2020
Rocco Oliveto,University of Molise,ase,1.0,0.16667,2013
Rahul Savani,University of Liverpool,aaai,1.0,0.33333,2014
Nancy S. Pollard,Carnegie Mellon University,iros,1.0,0.25,2013
Jeffrey S. Rosenschein,Hebrew University of Jerusalem,ijcai,1.0,0.25,2016
Odest Chadwicke Jenkins,University of Michigan,iros,2.0,0.34286,2019
Bo Liu 0006,George Mason University,aaai,1.0,0.25,2019
Song-Chun Zhu,Peking University,icra,1.0,0.25,2016
Leandro L. Minku,University of Birmingham,icse,1.0,0.5,2014
Suresh Jagannathan,Purdue University,oopsla,1.0,0.25,2021
Radha Jagadeesan,DePaul University,lics,1.0,0.5,1992
Changshui Zhang,Tsinghua University,ijcai,5.0,1.6667,2009
Mary Lou Soffa,University of Virginia,fse,1.0,0.16667,2019
Gianluca Stringhini,Boston University,imc,1.0,0.14286,2018
Olga Veksler,University of Waterloo,cvpr,2.0,0.53333,2017
Michael J. Black,Max Planck Society,nips,1.0,0.33333,2005
Liam Paull,University of Montreal,iros,2.0,0.53333,2016
Alan J. Hu,University of British Columbia,cav,1.0,0.33333,1991
Rob Miller 0001,Massachusetts Institute of Technology,usenixatc,1.0,0.5,2000
Alexander Felfernig,Graz University of Technology,aaai,1.0,0.5,2005
Martin Jägersand,University of Alberta,iros,1.0,1.0,1999
Abhi Shelat,Northeastern University,crypto,1.0,0.14286,2020
Yasuo Kuniyoshi,University of Tokyo,iros,1.0,0.33333,2000
Xiaoyan Zhu 0001,Tsinghua University,naacl,1.0,0.25,2010
Huan Liu 0001,Arizona State University,icml,1.0,0.33333,2002
Mohsen Ghaffari,ETH Zurich,focs,1.0,0.33333,2017
Markus Chimani,University of Osnabrück,soda,1.0,0.5,2010
Yihong Gong,Xi'an Jiaotong University,ijcai,1.0,0.16667,2017
Heng Yin,Univ. of California - Riverside,issta,1.0,0.14286,2014
Zhaohui Peng,Shandong University,aaai,1.0,0.2,2019
Nikos Mamoulis,University of Ioannina,sigmod,1.0,0.25,2014
Jin Song Dong,National University of Singapore,fse,1.0,0.2,2021
Naijun Zhan,Chinese Academy of Sciences,cav,1.0,0.2,2018
Jeremy G. Siek,Indiana University,oopsla,1.0,0.33333,1999
Peter K. Allen,Columbia University,icra,1.0,0.5,2006
Ping-Chun Hsieh,National Chiao Tung University,icml,1.0,0.25,2019
Jonathan Walpole,Portland State University,mobicom,1.0,0.2,2000
Anind K. Dey,University of Washington,chiconf,1.0,0.33333,2015
Mike Rosulek,Oregon State University,crypto,1.0,0.25,2018
Geoffrey J. Gordon,Carnegie Mellon University,aaai,1.0,0.33333,2004
Venkatesh Saligrama,Boston University,nips,3.0,0.78333,2020
Daniel Strüber 0001,Radboud University,icse,1.0,0.2,2018
Ron Alterovitz,University of North Carolina,icra,2.0,0.42424,2021
Hanspeter Pfister,Harvard University,vis,4.0,0.61071,2016
Chaokun Wang,Tsinghua University,aaai,2.0,0.66667,2019
Christos Faloutsos,Carnegie Mellon University,vldb,1.0,0.33333,1997
Alexander Schliep,Chalmers/GU,ismb,2.0,0.53333,2004
Noah A. Smith,University of Washington,nips,1.0,0.33333,2014
Raef Bassily,Ohio State University,nips,1.0,0.25,2017
Naren Ramakrishnan,Virginia Tech,kdd,3.0,0.53333,2015
Ettore Merlo,Polytechnique Montreal,ijcai,1.0,0.33333,1993
Kobbi Nissim,Georgetown University,crypto,1.0,0.25,2021
